step,trees,fires,seedling,ignition,extinction
585,777396,14124,0.047,0.2698,0.0868
588,775812,14996,0.047,0.2698,0.0868
591,768165,15704,0.047,0.2698,0.0868
594,766855,15659,0.047,0.2698,0.0868
597,760412,15840,0.047,0.2698,0.0868
600,760305,16027,0.047,0.2698,0.0868
603,755175,16163,0.047,0.2698,0.0868
606,756381,16063,0.047,0.2698,0.0868
609,751953,16402,0.047,0.2698,0.0868
612,752839,17310,0.047,0.2698,0.0868
615,747068,18560,0.047,0.2698,0.0868
618,746684,19340,0.047,0.2698,0.0868
621,740028,20579,0.047,0.2698,0.0868
624,738878,21191,0.047,0.2698,0.0868
627,731972,21617,0.047,0.2698,0.0868
630,730568,22203,0.047,0.2698,0.0915
633,723430,21744,0.047,0.2698,0.0915
636,722536,22175,0.047,0.2698,0.0845
639,715512,25324,0.047,0.2698,0.0775
642,713619,27004,0.047,0.2698,0.0775
645,706315,27417,0.047,0.2698,0.0751
648,704088,28649,0.047,0.2698,0.0728
651,695898,29845,0.047,0.2698,0.0704
654,692274,32542,0.047,0.2698,0.0681
657,683113,34195,0.047,0.2698,0.0657
660,679531,35151,0.047,0.2698,0.0657
663,669938,36533,0.047,0.2698,0.0587
666,665634,38617,0.047,0.2698,0.0587
669,655547,39707,0.047,0.2698,0.0587
672,651018,40571,0.047,0.2698,0.0564
675,641144,41748,0.047,0.2698,0.054
678,637180,42572,0.047,0.2698,0.047
681,627271,45176,0.047,0.2698,0.0446
684,622403,48065,0.047,0.2698,0.0446
687,612360,49214,0.047,0.2698,0.0446
690,608069,49340,0.047,0.2698,0.0446
693,598315,48732,0.047,0.2698,0.0423
696,594289,49138,0.047,0.2698,0.0423
699,583855,49257,0.047,0.2698,0.0423
702,580086,49385,0.047,0.2698,0.0399
705,571045,50315,0.047,0.2698,0.0212
708,567487,61956,0.047,0.2698,0.0165
711,557277,72825,0.047,0.2698,0.0165
714,551874,82661,0.047,0.2698,0.0165
717,540550,90554,0.047,0.2698,0.0165
720,534834,96469,0.047,0.2698,0.0165
723,523411,101190,0.047,0.2698,0.0165
726,517545,104578,0.047,0.2698,0.0165
729,506208,106392,0.047,0.2698,0.0165
732,501142,106726,0.047,0.2698,0.0165
735,491159,105553,0.047,0.2698,0.0165
738,487478,103199,0.047,0.2698,0.0165
741,478368,100641,0.047,0.2698,0.0165
744,475031,97830,0.047,0.2698,0.0165
747,466443,94556,0.047,0.2698,0.0118
750,463411,95070,0.047,0.2698,0.0118
753,454886,95227,0.047,0.2698,0.0118
756,451996,95150,0.047,0.2698,0.0118
759,443567,94952,0.047,0.2698,0.0118
762,441076,94336,0.047,0.2698,0.0118
765,433048,93795,0.047,0.2698,0.0118
